Food Name,Category Name,Calories,Carbs,Fats,Fiber,Protein,Sugar,Density
Pork spare ribs,Meat,277,0,23,0,15,0,0
Pork jowl,Meat,655,0,70,0,6.4,0,0
Liver,Meat,165,3.8,4.4,0,26,0,0
Ham,Meat,145,1.5,5.5,0,21,0,0
Pork bacon,Meat,548,1.4,43,0,36,0,0
Pork hock,Meat,171,0,11,0,19,0,0
Canadian bacon,Meat,146,1.8,2.8,0,28,1.2,0
Short ribs,Meat,471,0,42,0,22,0,0
Beef shank,Meat,201,0,6.4,0,34,0,0
T bone steak,Meat,217,0,11,0,27,0,0
Beef Liver,Meat,191,5.1,5.3,0,29,0,0
Corned beef,Meat,251,0.47,19,0,18,0,0
Pastrami,Meat,147,0.36,5.8,0,22,0.1,0
Pot roast,Meat,297,0,19,0,29,0,0
Beef ribs,Meat,372,0,30,0,23,0,0
Beef sirloin,Meat,177,0,5,0,31,0,0
Porterhouse steak,Meat,276,0,19,0,24,0,0
Ground beef,Meat,241,0,15,0,24,0,0
Brisket,Meat,289,0,18,0,29,0,0
Beefsteak,Meat,250,0,15,0,27,0,0
Beef tenderloin,Meat,324,0,25,0,24,0,0
Flank steak,Meat,192,0,8.2,0,28,0,0
Lamb,Meat,294,0,21,0,25,0,0
Lamb leg,Meat,230,0,17,0,18,0,0
Lamb loin,Meat,309,0,24,0,23,0,0
Lamb ribs,Meat,359,0,30,0,21,0,0
Lamb shoulder,Meat,279,0,20,0,23,0,0
Veal,Meat,172,0,7.6,0,24,0,0
Game,Meat,150,0,2.7,0,29,0,0
Bear meat,Meat,259,0,13,0,32,0,0
Bison meat,Meat,143,0,2.4,0,28,0,0
Caribou meat,Meat,167,0,4.4,0,30,0,0
Goat,Meat,143,0,3,0,27,0,0
Horse meat,Meat,175,0,6.1,0,28,0,0
Rabbit Meat,Meat,173,0,3.5,0,33,0,0
Elk meat,Meat,162,0,3.4,0,31,0,0
Deer meat,Meat,149,0,2.4,0,30,0,0
Chuck steak,Meat,277,0,20,0,25,0,0
Rib eye steak,Meat,291,0,22,0,24,0,0
Steak,Meat,271,0,19,0,25,0,0
Beef,Meat,169,0,6.5,0,28,0,0
Mutton,Meat,234,0.08,11,0,33,0,0
Frog legs,Meat,73,0,0.3,0,16,0,0
Allspice,Spices,263,72,8.7,22,6.1,2.9,0
Star anise,Spices,337,50,16,15,18,2.9,0
Bay leaf,Spices,313,75,8.4,26,7.6,2.9,0
Caraway spice,Spices,333,50,15,38,20,0.64,0
Cardamom,Spices,311,68,6.7,28,11,2.9,0
Chili powder spice,Spices,282,50,14,35,13,7.2,0
Cinnamon,Spices,247,81,1.2,53,4,2.2,0
Ground cloves,Spices,274,66,13,34,6,2.4,0
Coriander seeds,Spices,298,55,18,42,12,2.9,0
Cumin,Spices,375,44,22,11,18,2.3,0
Curry powder,Spices,325,56,14,53,14,2.8,0
Dill seeds,Spices,305,55,15,21,16,2.9,0
Dried dill weed,Spices,253,56,4.4,14,20,2.9,0
Fennel seeds,Spices,345,52,15,40,16,2.9,0
Fenugreek,Spices,323,58,6.4,25,23,2.9,0
Garlic powder,Spices,331,73,0.73,9,17,2.4,0
Ground ginger,Spices,335,72,4.2,14,9,3.4,0
Marjoram,Spices,271,61,7,40,13,4.1,0
Nutmeg,Spices,525,49,36,21,5.8,3,0
Onion powder,Spices,341,79,1,15,10,6.6,0
Oregano,Spices,265,69,4.3,43,9,4.1,0
Paprika,Spices,282,54,13,35,14,10,0
Dried parsely,Spices,292,51,5.5,27,27,7.3,0
Black pepper,Spices,251,64,3.3,25,10,0.64,0
Cayenne pepper,Spices,318,57,17,27,12,10,0
White pepper,Spices,296,69,2.1,26,10,2.9,0
Poppy seed,Spices,525,28,42,20,18,3,0
Poultry seasoning,Spices,307,66,7.5,11,9.6,1.8,0
Pumpkin pie spice,Spices,342,69,13,15,5.8,7.8,0
Dried rosemary,Spices,331,64,15,43,4.9,2.9,0
Saffron,Spices,310,65,5.9,3.9,11,2.9,0
Tarragon,Spices,295,50,7.2,7.4,23,2.9,0
Dried thyme,Spices,276,64,7.4,37,9.1,1.7,0
Turmeric,Spices,312,67,3.3,23,9.7,3.2,0
Mustard,Spices,60,5.8,3.3,4,3.7,0.92,0
Table salt,Spices,0,0,0,0,0,0,0
Apple cider vinegar,Spices,21,0.93,0,0,0,0.4,0
Vanilla extract,Spices,288,13,0.06,0,0.06,13,0
Vinegar,Spices,18,0.04,0,0,0,0.04,0
Caper,Spices,23,4.9,0.86,3.2,2.4,0.41,0
Horseradish,Spices,48,11,0.69,3.3,1.2,8,0
Spearmint,Spices,44,8.4,0.73,6.8,3.3,2.9,0
Balsamic vinegar,Spices,88,17,0,21,0.49,15,0
Taco seasoning,Spices,188,56,0,19,0,19,0
Mayonnaise,Spices,680,0.57,75,0,0.96,0.57,0
Cocoa solids,Spices,228,58,14,37,20,1.8,0
Alfalfa seeds,Nuts,23,2.1,0.69,1.9,4,0.2,0
Radish seeds,Nuts,43,3.6,2.5,7.5,3.8,4.35,0
Lotus seeds,Nuts,332,64,2,7.5,15,4.35,0
Safflower,Nuts,517,34,38,7.5,16,4.35,0
Acorns,Nuts,387,41,24,7.5,6.2,4.35,0
Almond,Nuts,579,22,50,13,21,4.4,0
Almond paste,Nuts,458,48,28,4.8,9,36,0
Beechnuts,Nuts,576,34,50,7.5,6.2,4.35,0
Brazil nut,Nuts,659,12,67,7.5,14,2.3,0
Cashew,Nuts,553,30,44,3.3,18,5.9,0
Chestnut,Nuts,131,28,1.4,7.5,2,4.35,0
Hazelnut,Nuts,628,17,61,9.7,15,4.3,0
Ginkgo nuts,Nuts,182,38,1.7,7.5,4.3,4.35,0
Hickory nut,Nuts,657,18,64,6.4,13,4.35,0
Macadamia,Nuts,718,14,76,8.6,7.9,4.6,0
Mixed nuts,Nuts,607,21,54,7,20,4.2,0
Pecan,Nuts,691,14,72,9.6,9.2,4,0
Pili nuts,Nuts,719,4,80,7.5,11,4.35,0
Pine nuts,Nuts,673,13,68,3.7,14,3.6,0
Pistachio,Nuts,560,27,45,11,20,7.7,0
Walnut,Nuts,654,14,65,6.7,15,2.6,0
Tahini,Nuts,595,21,54,9.3,17,0.49,0
Watermelon seeds,Nuts,557,15,47,7.5,28,4.35,0
Almond butter,Nuts,614,19,56,10,21,4.4,0
Castanea crenata,Nuts,154,35,0.53,7.5,2.3,4.35,0
Cashew butter,Nuts,609,30,53,3,12,9.1,0
Peanut,Nuts,567,16,49,8.5,26,4.7,0
Basil,Greens,23,2.7,0.64,1.6,3.2,0.3,0
Dill,Greens,43,7,1.1,2.1,3.5,0.87,0
Thyme,Greens,101,24,1.7,14,5.6,0.87,0
Rosemary,Greens,131,21,5.9,14,3.3,0.87,0
Peppermint,Greens,70,15,0.94,8,3.8,0.87,0
Garden rhubarb,Greens,21,4.5,0.2,1.8,0.9,1.1,0
Amaranth leaves,Greens,23,4,0.33,2.8,2.5,0.87,0
Rapini,Greens,22,2.9,0.49,2.7,3.2,0.38,0
Butterbur,Greens,14,3.6,0.04,2.8,0.39,0.87,0
Cardoon,Greens,17,4.1,0.1,1.6,0.7,0.87,0
Celery,Greens,16,3,0.17,1.6,0.69,1.3,0
Chard,Greens,20,4.1,0.08,2.1,1.9,1.1,0
Chives,Greens,30,4.4,0.73,2.5,3.3,1.9,0
Chrysanthemum,Greens,24,3,0.56,3,3.4,0.87,0
Marrow-stem Kale,Greens,32,5.4,0.61,4,3,0.46,0
Collard Greens,Greens,33,5.7,0.72,4,2.7,0.4,0
Coriander,Greens,23,3.7,0.52,2.8,2.1,0.87,0
Garden cress,Greens,32,5.5,0.7,1.1,2.6,4.4,0
Dandelion greens,Greens,45,9.2,0.7,3.5,2.7,0.71,0
Escarole,Greens,19,3.1,0.18,2.8,1.2,0.23,0
Drumstick leaves,Greens,64,8.3,1.4,2,9.4,0.87,0
Kale,Greens,28,5.6,0.4,2,1.9,1.3,0
Lambsquarters,Greens,43,7.3,0.8,4,4.2,0.87,0
Leek,Greens,61,14,0.3,1.8,1.5,3.9,0
Lettuce,Greens,15,2.9,0.15,1.3,1.4,0.78,0
Mustard Greens,Greens,26,4.5,0.47,2,2.6,1.4,0
Scallion,Greens,32,7.3,0.19,2.6,1.8,2.3,0
Welsh onion,Greens,34,6.5,0.4,2.4,1.9,2.2,0
Parsley,Greens,36,6.3,0.79,3.3,3,0.85,0
Pumpkin leaves,Greens,19,2.3,0.4,2.8,3.2,0.87,0
Purslane,Greens,20,3.4,0.36,2.8,2,0.87,0
Spinach,Greens,23,3.8,0.26,2.4,3,0.43,0
Sweet potato leaves,Greens,42,8.8,0.51,5.3,2.5,0.87,0
Taro leaves,Greens,42,6.7,0.74,3.7,5,3,0
Vine spinach (basella),Greens,19,3.4,0.3,2.8,1.8,0.87,0
Watercress,Greens,11,1.3,0.1,0.5,2.3,0.2,0
Borage,Greens,21,3.1,0.7,2.8,1.8,0.87,0
Drumstick tree,Greens,37,8.5,0.2,3.2,2.1,0.87,0
Arugula,Greens,25,3.7,0.66,1.6,2.6,2.1,0
Lemongrass,Greens,99,25,0.49,2.8,1.8,0.87,0
Grape leaves,Greens,93,17,2.1,11,5.6,6.3,0
Fireweed,Greens,103,19,2.8,11,4.7,0.87,0
Barley,Greens,123,28,0.44,3.8,2.3,0.28,0
Bulgur,Greens,83,19,0.24,4.5,3.1,0.1,0
Corn grain,Greens,365,74,4.7,7.3,9.4,0.64,0
Hominy,Greens,72,14,0.88,2.5,1.5,1.8,0
Bran,Greens,40,11,0.86,2.6,3.2,0.87,0
Triticale,Greens,336,72,2.1,2.8,13,0.87,0
Wild rice,Greens,101,21,0.34,1.8,4,0.73,0
Spinach pasta,Greens,289,56,2.1,2.8,11,0.87,0
Chow mein,Greens,475,73,15,3.7,8.1,5.7,0
Somen noodles,Greens,131,28,0.18,2.8,4,0.87,0
Barley flour,Greens,345,75,1.6,10,11,0.8,0
Rice noodles,Greens,108,24,0.2,1,1.8,0.03,0
Quinoa,Greens,120,21,1.9,2.8,4.4,0.87,0
Wheat,Greens,132,28,0.83,4.3,5.7,3.1,0
Spelt,Greens,127,26,0.85,3.9,5.5,0.87,0
Teff,Greens,101,20,0.65,2.8,3.9,0.87,0
Egg noodles,Greens,138,25,2.1,1.2,4.5,0.4,0
Millet flour,Greens,382,75,4.3,3.5,11,1.7,0
Fortune cookie,Sweets,378,84,2.7,1.6,4.2,45,0
Fruit leather,Sweets,359,83,2.7,0,1,58,0
Pretzel,Sweets,381,79,3.5,2.8,9.1,53,0
Tootsie roll,Sweets,387,88,3.3,0.1,1.6,56,0
Almond joy,Sweets,479,60,27,5,4.1,48,0
Bit-o-honey,Sweets,375,81,7.5,0.2,2,48,0
Butterfinger,Sweets,459,73,19,2,5.4,46,0
Butterscotch,Sweets,391,90,3.3,0,0.03,80,0
Carob,Sweets,540,56,31,3.8,8.2,34,0
Caramel,Sweets,382,77,8.1,0,4.6,66,0
Caramello,Sweets,462,64,21,1.2,6.2,57,0
White chocolate,Sweets,539,59,32,0.2,5.9,59,0
York peppermint pattie,Sweets,384,81,7.2,2,2.2,64,0
Twizzlers,Sweets,347,79,2.6,0.6,2.3,51,0
Crème caramel,Sweets,145,23,4,0,4.5,23,0
Ice cream,Sweets,207,24,11,0.7,3.5,21,0
Sherbet,Sweets,144,30,2,1.3,1.1,24,0
Fondant icing,Sweets,373,93,0.02,0,0,89,0
Fudge,Sweets,411,76,10,1.7,2.4,73,0
Goobers,Sweets,512,53,34,9.7,9.7,43,0
Gumdrop,Sweets,396,99,0,0.1,0,59,0
Jelly bean,Sweets,375,94,0.05,0.2,0,70,0
Kit Kat,Sweets,518,65,26,1,6.5,49,0
Baby ruth,Sweets,459,65,22,2,5.4,54,0
Marshmallow,Sweets,318,81,0.2,0.1,1.8,58,0
Halva,Sweets,469,60,22,4.5,12,53,0
Oh henry,Sweets,462,66,23,1.9,7.7,46,0
Chunky bar,Sweets,475,60,28,2.5,7.5,53,0
Banana pudding,Sweets,105,20,1.7,0,2.8,53,0
Chocolate pudding,Sweets,105,19,1.9,0.4,3.2,53,0
Milky way,Sweets,456,71,17,1,4,60,0
Skor bar,Sweets,541,64,30,1.3,3.1,60,0
M&Ms Peanut,Sweets,515,60,26,3.7,9.6,51,0
Mounds candy bar,Sweets,486,59,27,3.7,4.6,46,0
Mr. Goodbar,Sweets,538,54,33,3.8,10,47,0
100 grand bar,Sweets,468,71,19,1,2.5,52,0
Crunch bar,Sweets,500,67,26,1.9,5,55,0
Candy bar,Sweets,522,47,34,4.1,16,42,0
Raisinets,Sweets,422,71,17,2.2,4.4,59,0
Reeses cups,Sweets,515,55,31,3.6,10,47,0
Reese's pieces,Sweets,497,60,25,3,12,53,0
Rolo,Sweets,474,68,21,0.9,5.1,64,0
After eight,Sweets,432,80,12,2.4,1.7,67,0
Starburst,Sweets,408,83,8.2,0,0.41,58,0
3 musketeers,Sweets,436,78,13,1.5,2.6,67,0
Twix,Sweets,502,65,25,1.1,4.9,48,0
Whatchamacallit,Sweets,494,63,24,1.9,8,49,0
Chewing gum,Sweets,360,97,0.3,2.4,0,66,0
Cocoa bean,Sweets,220,58,13,30,18,1.8,0
Custard,Sweets,122,18,4,0,4,4.8,0
Gelatin dessert,Sweets,381,91,0,0,7.8,86,0
Mousse,Sweets,225,16,16,0.6,4.1,15,0
Apple crisp,Sweets,161,31,3.4,1.4,1.8,20,0
Flan,Sweets,348,92,0,0,0,53,0
Pudding,Sweets,120,20,3.2,0.8,3.2,12,0
Rice pudding,Sweets,111,21,1.6,0.1,3.3,53,0
Tapioca,Sweets,105,20,1.7,0,2.9,53,0
Praline,Sweets,485,60,26,3.5,3.3,56,0
Icing,Sweets,418,68,16,0,0,63,0
Reesesticks,Sweets,521,55,31,3.3,9.5,40,0
Reese's fast break,Sweets,474,62,23,2.9,8.7,53,0
Dove milk chocolate,Sweets,546,60,32,2.4,5.9,55,0
Chocolate ice cream,Sweets,216,28,11,1.2,3.8,25,0
Italian ice,Sweets,53,14,0.02,0,0.03,53,0
Ice pop,Sweets,79,19,0.24,0,0,14,0
Mars,Sweets,475,72,19,2,4.3,59,0
Honey,Sweets,304,82,0,0.2,0.3,82,0
Fruit preserves,Sweets,278,69,0.07,1.1,0.37,49,0
Marmalade,Sweets,246,66,0,0.7,0.3,60,0
Molasses,Sweets,290,75,0.1,0,0,75,0
Pectin,Sweets,325,90,0.3,8.6,0.3,53,0
Brown sugar,Sweets,380,98,0,0,0.12,97,0
Sugar,Sweets,387,100,0,0,0,100,0
Aspartame,Sweets,365,89,0,0,2.2,81,0
Maple sugar,Sweets,354,91,0.2,0,0.1,85,0
Corn syrup,Sweets,286,78,0,0,0,78,0
Maple syrup,Sweets,260,67,0.06,0,0.04,60,0
Sorghum syrup,Sweets,290,75,0,0,0,75,0
Snickers,Sweets,488,63,24,1.9,6.9,47,0
Skittles,Sweets,402,91,4.3,0,0.19,76,0
Taffy (candy),Sweets,397,92,3.3,0,0.03,68,0
Toffee,Sweets,560,65,33,0,1.1,63,0
Apricot jam,Sweets,242,64,0.2,0.3,0.7,43,0
Sucralose,Sweets,336,91,0,0,0,80,0
Creamsicle,Sweets,49,12,2.3,7.5,1.4,0.43,0
Chocolate,Sweets,546,61,31,7,4.9,48,0
Sugar substitute,Sweets,347,85,0,0.6,2.1,4,0
Agave nectar,Sweets,310,76,0.45,0.2,0.09,68,0
Stevia,Sweets,0,100,0,0,0,0,0
Payday,Sweets,490,53,25,3.8,13,40,0
Macaroon,Sweets,460,61,23,5.1,3,45,0
Grenadine,Sweets,268,67,0,0,0,47,0
Frozen yogurt,Sweets,127,22,3.6,0,3,20,0
Nougat,Sweets,398,92,1.7,3.3,3.3,45,0
Heart of palm,Sweets,115,26,0.2,1.5,2.7,17,0
Tabletop Sweeteners,Sweets,279,76,0,0.1,0,76,0
Lard,Oils and Sauces,902,0,100,0,0,0,0.915
Russian dressing,Oils and Sauces,355,32,26,0.7,0.69,18,1
Thousand island,Oils and Sauces,379,15,35,0.8,1.1,15,1
French dressing,Oils and Sauces,222,31,12,1.5,0.58,17,1
Italian dressing,Oils and Sauces,102,10,6.7,0,0.39,9.2,1
Soybean oil,Oils and Sauces,884,0,100,0,0,0,0.92
Rice bran oil,Oils and Sauces,884,0,100,0,0,0,0.92
Wheat germ oil,Oils and Sauces,884,0,100,0,0,0,0.92
Peanut oil,Oils and Sauces,884,0,100,0,0,0,0.92
Coconut oil,Oils and Sauces,892,0,99,0,0,0,0.925
Olive oil,Oils and Sauces,884,0,100,0,0,0,0.925
Palm oil,Oils and Sauces,884,0,100,0,0,0,0.925
Sesame oil,Oils and Sauces,884,0,100,0,0,0,0.925
Cocoa butter,Oils and Sauces,884,0,100,0,0,0,0.89
Cottonseed oil,Oils and Sauces,884,0,100,0,0,0,0.92
Safflower oil,Oils and Sauces,884,0,100,0,0,0,0.92
Grape seed oil,Oils and Sauces,884,0,100,0,0,0,0.92
Walnut oil,Oils and Sauces,884,0,100,0,0,0,0.92
Babassu oil,Oils and Sauces,884,0,100,0,0,0,0.92
Blue cheese dressing,Oils and Sauces,484,4.8,51,0.4,1.4,3.5,1
Sunflower oil,Oils and Sauces,884,0,100,0,0,0,0.92
Duck fat,Oils and Sauces,882,0,100,0,0,0,0.915
Avocado oil,Oils and Sauces,884,0,100,0,0,0.85,0.92
Canola oil,Oils and Sauces,884,0,100,0,0,0,0.92
Mustard oil,Oils and Sauces,884,0,100,0,0,0.85,0.92
Salmon oil,Oils and Sauces,902,0,100,0,0,0.85,0.925
Fish oil,Oils and Sauces,902,0,100,0,0,0.85,0.925
Margarine,Oils and Sauces,717,0.7,81,0,0.16,0,0.865
Spread,Oils and Sauces,158,0,17,0,0,0,0.865
Honey mustard,Oils and Sauces,207,28,10,0.8,0.98,18,1.1
Benecol,Oils and Sauces,357,5.7,39,0,0,0.85,0.865
Poppy seed dressing,Oils and Sauces,399,24,33,0.3,0.92,23,1
Ceasar dressing,Oils and Sauces,131,31,0.23,0.2,1.5,8.8,1
Flaxseed oil,Oils and Sauces,878,0.39,99,0,0.37,0.85,0.92
Barbecue sauce,Oils and Sauces,172,41,0.63,0.9,0.82,33,1.3
Béchamel sauce,Oils and Sauces,105,7.4,6.7,0.1,3.8,4.8,1.03
Hot sauce,Oils and Sauces,11,1.8,0.37,0.3,0.51,1.3,1.1
Hoisin sauce,Oils and Sauces,220,44,3.4,2.8,3.3,27,1.2
Salsa,Oils and Sauces,36,7,0.2,1.4,1.5,0.85,1.1
Fish sauce,Oils and Sauces,35,3.6,0.01,0,5.1,3.6,1.22
Marinara sauce,Oils and Sauces,51,8.1,1.5,1.8,1.4,5.5,1.03
Olive,Oils and Sauces,115,6.3,11,3.2,0.84,0,1.05
Tomato paste,Oils and Sauces,82,19,0.47,4.1,4.3,12,1.2
Ketchup,Oils and Sauces,101,27,0.1,0.3,1,21,1.32
Wasabi,Oils and Sauces,109,24,0.63,7.8,4.8,0.85,1.1
Miso,Oils and Sauces,198,25,6,5.4,13,6.2,1.3
Soy milk,Oils and Sauces,54,6.3,1.8,0.6,3.3,4,1.03
Soy sauce,Oils and Sauces,53,4.9,0.57,0.8,8.1,0.4,1.2
Peanut butter,Oils and Sauces,598,22,51,5,22,10,1.1
Sweet and sour,Oils and Sauces,150,38,0.02,0.1,0.27,19,1.2
Cocktail sauce,Oils and Sauces,124,28,1.1,1.8,1.4,12,1.2
Green Goddess Dressing,Oils and Sauces,427,7.4,43,0.1,1.9,6.7,1
Tomato sauce,Oils and Sauces,24,5.3,0.3,1.5,1.2,3.6,1.1
Vegetable oil,Oils and Sauces,884,0,100,0,0,0,0.92
Apple juice,Beverages,46,11,0.13,0.2,0.1,9.6,0
Orange juice,Beverages,45,10,0.2,0.2,0.7,8.4,0
Pineapple juice,Beverages,53,13,0.12,0.2,0.36,10,0
Carrot juice,Beverages,40,9.3,0.15,0.8,0.95,3.9,0
Tomato juice,Beverages,17,3.5,0.29,0.4,0.85,2.6,0
Beer,Beverages,43,3.6,0,0,0.46,0,0
Daiquiri,Beverages,186,6.9,0.06,0.1,0.06,5.6,0
Piña colada,Beverages,174,23,1.9,0.3,0.42,22,0
Tequila sunrise,Beverages,110,11,0.1,0,0.3,4.55,0
Monster energy drink,Beverages,5,1.4,0,0,0,1.4,0
Whiskey sour,Beverages,383,97,0.1,0,0.6,97,0
Creme de menthe,Beverages,371,42,0.3,0,0,42,0
SlimFast shake,Beverages,58,0.85,2.9,0.4,6.6,0.6,0
Fuze juice,Beverages,38,9.2,0.06,0.2,0.68,9,0
Gin,Beverages,263,0,0,0,0,0,0
Rum,Beverages,231,0,0,0,0,0,0
Vodka,Beverages,231,0,0,0,0,0,0
Whisky,Beverages,250,0.1,0,0,0,0.1,0
Wine,Beverages,83,2.7,0,0,0.07,0.79,0
Smoothie,Beverages,37,8.2,0,0,1.2,7.4,0
Red Wine,Beverages,85,2.6,0,0,0.07,0.62,0
Pinot noir,Beverages,82,2.3,0,0,0.07,4.55,0
Syrah wine,Beverages,83,2.6,0,0,0.07,4.55,0
Zinfandel wine,Beverages,88,2.9,0,0,0.07,4.55,0
Petite Sirah wine,Beverages,85,2.7,0,0,0.07,4.55,0
White wine,Beverages,82,2.6,0,0,0.07,0.96,0
Sangiovese wine,Beverages,86,2.6,0,0,0.07,4.55,0
Carignan wine,Beverages,74,2.4,0,0,0.07,4.55,0
Pinot Gris,Beverages,83,2.1,0,0,0.07,4.55,0
Muller Thurgau,Beverages,76,3.5,0,0,0.07,4.55,0
Carbonated water,Beverages,0,0,0,0,0,0,0
Gewürztraminer,Beverages,81,11,0,0,0.07,4.55,0
Gewurztraminer,Beverages,108,2.6,0,0,0.07,4.55,0
Semillon,Beverages,82,3.1,0,0,0.07,4.55,0
Riesling,Beverages,80,3.7,0,0,0.07,4.55,0
Sauvignon blanc,Beverages,81,2.1,0,0,0.07,4.55,0
Ginger ale,Beverages,34,8.8,0,0,0,8.9,0
Iced tea,Beverages,36,9.1,0,0,0,9.1,0
Muscat wine,Beverages,82,5.2,0,0,0.07,4.55,0
Grape soda,Beverages,43,11,0,0,0,4.55,0
Sprite,Beverages,40,10,0.02,0,0.05,9,0
French wine,Beverages,86,3.7,0,0,0.07,4.55,0
Red Bull Energy Drink,Beverages,43,10,0,0,0.46,10,0
Tonic water,Beverages,34,8.8,0,0,0,8.8,0
Chardonnay,Beverages,84,2.2,0,0,0.07,0.96,0
Chocolate syrup,Beverages,279,65,1.1,2.6,2.1,50,0
Oolong tea,Beverages,1,0.15,0,0,0,0,0
Green tea,Beverages,30,7.2,0.18,0,0,6.9,0
Minute maid lemonade,Beverages,46,12,0,0,0,12,0
Lemon tea,Beverages,2,0.41,0,0,0,0,0
Coffee,Beverages,1,0,0.02,0,0.12,0,0
Espresso,Beverages,9,1.7,0.18,0,0.12,0,0
Instant coffee,Beverages,2,0.34,0,0,0.1,0,0
Aloe vera juice,Beverages,15,3.8,0,0,0,3.8,0
Mocha,Beverages,460,74,16,1.9,5.3,58,0
Malt beer,Beverages,68,10,0,0,0,9.8,0
Cranberry juice,Beverages,54,14,0.1,0,0,12,0
Light beer,Beverages,46,0.77,0,0,0.25,0.09,0
Rose wine,Beverages,83,3.8,0,0,0.36,3.8,0
Lemonade,Beverages,40,10,0.04,0,0.07,10,0
Malt,Beverages,85,11,3.3,0.5,3.4,6.7,0
Black tea,Beverages,1,0.3,0,0,0,0,0
Tea,Beverages,1,0.17,0,0,0.06,0.02,0
Perrier,Beverages,0,0,0,0,0,4.55,0
Coca-Cola,Beverages,37,9.6,0.02,0,0.07,9,0
Drinking water,Beverages,0,0,0,0,0,0,0
Water,Beverages,0,0,0,0,0,4.55,0
Coffee liqueur,Beverages,336,47,0.3,0,0.1,38,0
Liqueur,Beverages,327,21,16,0,2.8,20,0
Gatorade,Beverages,26,6.4,0,0,0,5.2,0
Powerade,Beverages,32,7.8,0.05,0,0,6.1,0
Absinthe,Beverages,295,0,0,0,0,4.55,0
Roman chamomile,Beverages,1,0.2,0,0,0,0,0
Distilled beverage,Beverages,250,0.1,0,0,0,0,0
Bottled water,Beverages,0,0,0,0,0,0,0
Merlot,Beverages,83,2.5,0,0,0.07,0.62,0
Rockstar energy drink,Beverages,58,13,0.22,0,0.34,12,0
Horchata,Beverages,54,12,0.71,0,0.48,9.4,0
Rice milk,Beverages,47,9.2,0.97,0.3,0.28,5.3,0
Herbal tea,Beverages,0,0,0,0,0,0,0
V8 juice,Beverages,21,4.1,0,0.8,0.82,3.3,0
Juice,Beverages,54,13,0,0.2,0.2,9.4,0
Sake,Beverages,134,5,0,0,0.5,0,0
Grape juice,Beverages,62,15,0,0,0,15,0
Asparagus soup,Soups,69,8.5,3.3,0.4,1.8,0.72,0
Black bean soup,Soups,91,15,1.3,6.8,4.8,2.5,0
Soup beans,Soups,95,11,3.5,4.6,5.2,1.95,0
Celery soup,Soups,72,7,4.5,0.6,1.3,1.4,0
Broccoli cheese soup,Soups,81,9.7,3.6,0,1.6,2.4,0
Chicken cream soup,Soups,90,7.2,5.8,0,2.4,0.54,0
Chicken gumbo,Soups,45,6.7,1.1,1.6,2.1,1.9,0
Chicken rice soup,Soups,53,5.4,1.3,0.4,5.1,0.6,0
Chicken vegetable soup,Soups,33,4.7,0.73,0.9,2,1,0
Manhattan Clam Chowder,Soups,56,7.8,1.4,1.2,3,1.7,0
New England Clam Chowder,Soups,72,10,2.1,0.7,3.2,0.38,0
Lentil soup,Soups,56,8.2,1.1,0.55,3.7,1.95,0
Onion soup,Soups,46,6.7,1.4,0.7,3.1,2.7,0
Oyster stew,Soups,48,3.3,3.1,0,1.7,1.95,0
Potato soup,Soups,74,13,1.9,1.3,1.5,1.4,0
Creamy Shrimp Soup,Soups,72,6.5,4.1,0.2,2.2,1.95,0
Turkey soup,Soups,57,6,1.9,0.55,4.3,1.95,0
Chunky Beef Soup,Soups,66,10,1.1,0.6,4,0.67,0
Broth,Soups,267,18,14,0,17,17,0
Beef consomme,Soups,16,0.81,0,0,3.2,0.81,0
Teriyaki sauce,Soups,89,16,0.02,0.1,5.9,14,0
Au jus,Soups,16,2.5,0.2,0,1.2,1.95,0
Chicken gravy,Soups,48,5.3,2.6,0.1,0.71,0.3,0
Mushroom gravy,Soups,50,5.5,2.7,0.4,1.3,1.95,0
Onion gravy,Soups,322,68,3,6,9,1.95,0
Turkey gravy,Soups,51,5.1,2.1,0.4,2.6,0.21,0
Sofrito sauce,Soups,237,5.5,18,1.7,13,1.95,0
Spaghetti sauce,Soups,48,8.7,0.9,0.55,1.2,4.7,0
Plum sauce,Soups,184,43,1,0.7,0.89,1.95,0
Pizza sauce,Soups,54,8.7,1.2,2,2.2,3.8,0
Tomato bisque,Soups,96,18,2,0.8,1.8,1.95,0
Tabasco,Soups,12,0.8,0.76,0.6,1.3,0.13,0
Chicken soup,Soups,36,3.5,1.2,0,2.5,1.6,0
Fish soup,Soups,16,0,0.81,0,2.3,0,0
Oyster sauce,Soups,51,11,0.25,0.3,1.4,0,0
Shark fin soup,Soups,46,3.8,2,0,3.2,1.95,0
Bean and ham soup,Soups,81,14,1,4,4.2,3.2,0
Cream of Broccoli Soup,Soups,56,8.1,1.6,1.6,1.6,0.81,0
Cream of celery soup,Soups,66,5.9,3.9,0.3,2.3,1.95,0
Vegetable soup,Soups,65,12,0.9,2.1,2.2,4.3,0
Beef noodle soup,Soups,34,3.6,1.2,0.3,1.9,1,0
Minestrone,Soups,34,4.7,1,0.4,1.8,1.95,0
Cream of mushroom soup,Soups,39,3.3,2.6,0.3,0.66,0.2,0
Pea soup,Soups,61,9.9,1.1,1.9,3.2,3.2,0
Chicken noodle soup,Soups,23,3.7,0.55,0.1,0.84,0.31,0
Chicken tortilla soup,Soups,53,8.2,0.82,1.2,2.9,1.6,0
